time,pos_meas1,pos_meas2,vel_meas1,vel_meas2,tau_con1,tau_con2
1.260000000000000842e-01,8.092677702599908596e-01,-1.131534838888388794e+00,1.100420278479028369e+01,-1.311878026212118620e+01,5.985430717468261719e+00,0.000000000000000000e+00
1.280000000000000859e-01,8.313726709593227682e-01,-1.157728691020603495e+00,1.110073010235651658e+01,-1.307418623776096744e+01,5.984107017517089844e+00,0.000000000000000000e+00
1.300000000000000877e-01,8.536708330323312666e-01,-1.183828063024452648e+00,1.119749255073020500e+01,-1.302433667739298961e+01,5.982893943786621094e+00,0.000000000000000000e+00
1.320000000000000895e-01,8.761628980489447605e-01,-1.209822663234327633e+00,1.129465997476244077e+01,-1.296944846359076919e+01,5.981510639190673828e+00,0.000000000000000000e+00
1.340000000000000913e-01,8.988498291657950334e-01,-1.235702607851763002e+00,1.139238409733237312e+01,-1.290971266011207774e+01,5.979932785034179688e+00,0.000000000000000000e+00
1.360000000000000930e-01,9.217328832672695427e-01,-1.261458379866465362e+00,1.149080689709621872e+01,-1.284530502066957425e+01,5.976895809173583984e+00,0.000000000000000000e+00
1.380000000000000948e-01,9.448135509619985939e-01,-1.287080753479967088e+00,1.159002014157823446e+01,-1.277634137976374440e+01,5.971760272979736328e+00,0.000000000000000000e+00
1.400000000000000966e-01,9.680934769327121936e-01,-1.312560701203563163e+00,1.169008612067848141e+01,-1.270290442479769411e+01,5.964391708374023438e+00,0.000000000000000000e+00
1.420000000000000984e-01,9.915744173321242583e-01,-1.337889347712769350e+00,1.179105397608307904e+01,-1.262506372008682831e+01,5.954561233520507812e+00,0.000000000000000000e+00
1.440000000000001001e-01,1.015258210160666197e+00,-1.363057940997394635e+00,1.189295637784940673e+01,-1.254287313776243451e+01,5.942655086517333984e+00,0.000000000000000000e+00
1.460000000000001019e-01,1.039146761898807059e+00,-1.388057843022885374e+00,1.199582908746707055e+01,-1.245639275697302217e+01,5.942949295043945312e+00,0.000000000000000000e+00
